,Year,Mean Nitrous Oxide Concentration,Mean Carbon Dioxide Concentration,Mean Methane Concentration,Mean Adjusted Sea Level (inches),Sea Temperature Anomaly,Earth Surface Temperature Anomaly (land and ocean),Mean cumulative mass balance of glaciers
0,2020,330.7142329610922,405.57676759796186,1906.690278122681,9.302440850275984,0.7700406341148103,1.612598883580933,-24.040065055561172
1,2021,331.4660611448772,407.2579976138204,1916.3552234089257,9.39631420733616,0.792618760601254,1.6455121818770806,-24.500657511071836
2,2022,332.21788932866207,408.93922762967895,1926.020168695166,9.490187564396392,0.8151968870877049,1.678425480173221,-24.961249966582272
3,2023,332.969717512447,410.620457645537,1935.6851139814096,9.584060921456569,0.8377750135741557,1.7113387784693543,-25.421842422092368
4,2024,333.72154569623194,412.3016876613956,1945.35005926765,9.677934278516744,0.8603531400605959,1.7442520767654983,-25.88243487760292
5,2025,334.4733738800169,413.9829176772541,1955.015004553894,9.771807635576891,0.8829312665470503,1.7771653750616423,-26.34302733311324
6,2026,335.22520206380204,415.6641476931122,1964.6799498401344,9.865680992637095,0.9055093930335084,1.8100786733577792,-26.803619788623678
7,2027,335.977030247587,417.3453777089708,1974.344895126378,9.959554349697273,0.928087519519952,1.8429919716539267,-27.264212244134
8,2028,336.7288584313719,419.02660772482886,1984.0098404126184,10.053427706757477,0.9506656460063994,1.87590526995006,-27.724804699644324
9,2029,337.48068661515686,420.7078377406874,1993.6747856988625,10.147301063817622,0.9732437724928538,1.9088185682462004,-28.18539715515476
10,2030,338.2325147989418,422.389067756546,2003.3397309851025,10.241174420877798,0.995821898979294,1.941731866542348,-28.645989610665083
11,2031,338.9843429827268,424.0702977724041,2013.0046762713464,10.335047777938,1.0184000254657484,1.9746451648384884,-29.10658206617552
12,2032,339.73617116651167,425.7515277882626,2022.6696215575869,10.428921134998175,1.0409781519521957,2.0075584631346324,-29.56717452168573
13,2033,340.4879993502966,427.43275780412114,2032.3345668438303,10.522794492058324,1.0635562784386394,2.0404717614307764,-30.027766977196393
14,2034,341.23982753408154,429.1139878199792,2041.9995121300744,10.616667849118528,1.0861344049250905,2.073385059726906,-30.48835943270649
15,2035,341.9916557178667,430.7952178358378,2051.6644574163147,10.710541206178704,1.1087125314115482,2.1062983580230537,-30.948951888216925
16,2036,342.74348390165164,432.4764478516959,2061.3294027025586,10.804414563238907,1.1312906578980026,2.1392116563191905,-31.40954434372736
17,2037,343.4953120854366,434.1576778675544,2070.994347988799,10.898287920299111,1.1538687843844428,2.172124954615331,-31.870136799237684
18,2038,344.2471402692215,435.83890788341296,2080.6592932750427,10.99216127735923,1.1764469108708866,2.2050382529114785,-32.33072925474801
19,2039,344.99896845300646,437.5201378992711,2090.324238561283,11.086034634419434,1.1990250373573446,2.237951551207612,-32.791321710258444
20,2040,345.7507966367914,439.2013679151296,2099.989183847527,11.17990799147961,1.2216031638437883,2.270864849503756,-33.25191416576877
21,2041,346.5026248205764,440.88259793098814,2109.654129133767,11.273781348539814,1.244181290330232,2.303778147799896,-33.71250662127932
22,2042,347.25445300436127,442.56382794684623,2119.319074420011,11.36765470559996,1.266759416816683,2.336691446096033,-34.1730990767893
23,2043,348.0062811881462,444.2450579627048,2128.984019706252,11.461528062660136,1.2893375433031302,2.369604744392184,-34.63369153229985
24,2044,348.75810937193137,445.92628797856287,2138.648964992495,11.55540141972034,1.3119156697895915,2.402518042688321,-35.094283987810286
25,2045,349.5099375557163,447.6075179944214,2148.3139102787354,11.649274776780516,1.3344937962760357,2.435431340984465,-35.55487644332061
26,2046,350.26176573950124,449.28874801028,2157.97885556498,11.743148133840691,1.3570719227624863,2.4683446392806125,-36.015468898831045
27,2047,351.0135939232862,450.9699780261381,2167.64380085122,11.837021490900897,1.3796500492489372,2.5012579375767423,-36.47606135434137
28,2048,351.7654221070711,452.6512080419966,2177.3087461374635,11.930894847961042,1.402228175735381,2.5341712358728863,-36.93665380985169
29,2049,352.51725029085605,454.3324380578552,2186.973691423708,12.024768205021246,1.4248063022218282,2.567084534169034,-37.39724626536224
30,2050,353.269078474641,456.0136680737132,2196.638636709948,12.11864156208145,1.447384428708279,2.599997832465164,-37.85783872087245
