,Year,Mean Nitrous Oxide Concentration,Mean Carbon Dioxide Concentration,Mean Methane Concentration
0,2020,330.7142329610922,405.57676759796186,1906.6902781226818
1,2021,331.46606114487713,407.2579976138204,1916.3552234089257
2,2022,332.21788932866207,408.93922762967895,1926.020168695166
3,2023,332.969717512447,410.62045764553704,1935.6851139814098
4,2024,333.72154569623194,412.3016876613956,1945.35005926765
5,2025,334.4733738800169,413.98291767725414,1955.015004553894
6,2026,335.22520206380204,415.6641476931122,1964.6799498401342
7,2027,335.977030247587,417.3453777089708,1974.344895126378
8,2028,336.7288584313719,419.02660772482886,1984.0098404126184
9,2029,337.48068661515686,420.7078377406874,1993.6747856988623
10,2030,338.2325147989418,422.38906775654596,2003.3397309851025
11,2031,338.98434298272673,424.07029777240405,2013.0046762713464
12,2032,339.73617116651167,425.7515277882626,2022.6696215575867
13,2033,340.4879993502966,427.43275780412114,2032.3345668438305
14,2034,341.23982753408154,429.11398781997923,2041.9995121300744
15,2035,341.9916557178667,430.7952178358378,2051.6644574163147
16,2036,342.74348390165164,432.47644785169587,2061.3294027025586
17,2037,343.4953120854366,434.1576778675544,2070.994347988799
18,2038,344.2471402692215,435.83890788341296,2080.6592932750427
19,2039,344.99896845300646,437.52013789927105,2090.324238561283
20,2040,345.7507966367914,439.2013679151296,2099.989183847527
21,2041,346.50262482057633,440.88259793098814,2109.654129133767
22,2042,347.25445300436127,442.56382794684623,2119.319074420011
23,2043,348.0062811881462,444.2450579627048,2128.9840197062513
24,2044,348.75810937193137,445.92628797856287,2138.648964992495
25,2045,349.5099375557163,447.6075179944214,2148.3139102787354
26,2046,350.26176573950124,449.28874801027996,2157.9788555649793
27,2047,351.0135939232862,450.96997802613805,2167.6438008512196
28,2048,351.7654221070711,452.6512080419966,2177.3087461374635
29,2049,352.51725029085605,454.33243805785514,2186.9736914237074
30,2050,353.269078474641,456.01366807371323,2196.6386367099476
