Year (negative values = BC),"EPICA Dome C, Antarctica",Antarctica (Battle et al.),"Cape Grim, Australia","Mauna Loa, Hawaii","South Pole, Antarctica","Barrow, Alaska"
1903,,278.7,,,,
1920,,281.3,,,,
1937,284.5,,,,,
1954,,286.2,,,,
1958,,288.1,,,,
1964,,291.2,,,,
1967,,291.5,,,,
1969,,294.4,,,,
1970,,293.8,,,,
1971,,294,,,,
1972,,295.6,,,,
1973,,296,,,,
1974,,295.7,,,,
1975,,298.3,,,,
1976,,297.4,,,,
1977,,299.2,,,,
1979,,300.9,300.1721667,,,
1980,,,300.9288333,,,
1981,,,300.8465455,,,
1982,,,302.731,,,
1983,,,303.5336667,,,
1984,,,304.03775,,,
1985,,,304.2724167,,,
1986,,,304.5736667,,,
1987,,,305.1549091,,,
1988,,,306.0085,,,
1989,,,307.05575,,,
1990,,,308.0556667,,,
1991,,,308.7190833,,,
1992,,,309.3625833,,,
1993,,,309.25475,,,
1994,,,309.91325,,,
1995,,,310.48,,,
1996,,,311.1835833,,,
1997,,,312.2418333,,,
1998,,,313.0555833,,312.8591667,
1999,,,313.9935833,,,314.765
2000,,,314.8386667,316.0791667,314.4925,316.1475
2001,,,315.3684167,316.8891667,315.4391667,316.8066667
2002,,,316.0345833,,316.0183333,317.3841667
2003,,,316.5419167,318.265,316.7933333,318.18
2004,,,317.3576667,318.9625,317.5541667,318.7375
2005,,,318.0633333,319.7483333,318.1775,319.6108333
2006,,,318.8543333,320.4316667,318.9633333,320.4841667
2007,,,319.52575,321.3141667,,
2008,,,320.7808333,322.2266667,320.7683333,322.2725
2009,,,321.4508333,322.9258333,321.5841667,323.0525
2010,,,322.469,323.8545455,322.4658333,323.8191667
2011,,,323.3195,324.7583333,323.4241667,324.6908333
2012,,,324.3590833,325.5983333,324.3808333,325.5916667
2013,,,325.1790833,326.4508333,325.3075,326.56
2014,,,326.1363333,327.6166667,326.2008333,327.691
2015,,,327.32,328.4333333,327.4066667,328.595
2016,,,327.9725,329.4841667,328.0916667,329.4325
2017,,,328.8438333,330.5308333,329.1391667,
2018,,,330.4013333,331.5975,330.365,331.4466667
2019,,,330.9270833,,331.2483333,332.3216667
2020,,,331.8215833,333.9241667,332.2475,333.7858333
2021,,,333.4095833,335.1333333,333.8033333,334.8208333
