Year,Antarctic Ice Cores,Mauna Loa,Barrow,Cape Matatula,South Pole,Cape Grim,Lampedusa,Shetland
1879.950584,287.7707292,,,,,,,
1882.922354,292.4639348,,,,,,,
1883.791472,289.7624132,,,,,,,
1884.1799,289.2265988,,,,,,,
1885.600129,288.1157637,,,,,,,
1887.394467,294.3417875,,,,,,,
1889.007481,292.3423879,,,,,,,
1889.868942,290.9175394,,,,,,,
1892.390519,295.1719293,,,,,,,
1892.878396,294.8594308,,,,,,,
1893.0603,295.3164627,,,,,,,
1893.658821,293.1665417,,,,,,,
1893.756325,293.8088307,,,,,,,
1898.65716,295.2814575,,,,,,,
1898.942405,297.0473645,,,,,,,
1900.178351,294.2207216,,,,,,,
1901.701875,295.6106368,,,,,,,
1903.906525,295.9913578,,,,,,,
1905.350804,299.0235966,,,,,,,
1905.543563,297.3282186,,,,,,,
1905.7742,299.6268629,,,,,,,
1908.523908,301.5041354,,,,,,,
1909.764769,297.8691068,,,,,,,
1910.715851,298.106247,,,,,,,
1911.095388,297.7268154,,,,,,,
1911.285014,299.2572775,,,,,,,
1912.51514,301.2977262,,,,,,,
1914.392996,300.7000887,,,,,,,
1915.786031,301.9151507,,,,,,,
1917.874588,303.8522213,,,,,,,
1918.668399,304.6132073,,,,,,,
1919.707781,301.8758604,,,,,,,
1922.505042,303.1815383,,,,,,,
1922.836883,306.1986243,,,,,,,
1924.748381,304.7159147,,,,,,,
1925.313043,304.9691568,,,,,,,
1927.79646,308.0187419,,,,,,,
1928.1568,305.6678685,,,,,,,
1928.539307,305.7053722,,,,,,,
1928.7436,305.7829415,,,,,,,
1929.386326,305.3808267,,,,,,,
1930.829694,305.7409187,,,,,,,
1932.293604,308.2555622,,,,,,,
1932.537299,308.2791992,,,,,,,
1932.780924,305.9440282,,,,,,,
1933.593049,307.0755443,,,,,,,
1933.876425,309.6306261,,,,,,,
1935.056301,306.3197984,,,,,,,
1935.709457,307.2585986,,,,,,,
1935.873358,309.3446869,,,,,,,
1936.863214,307.4076932,,,,,,,
1937.766693,312.3293255,,,,,,,
1937.86788,311.5205097,,,,,,,
1938.129852,311.9410288,,,,,,,
1938.1616,308.4798278,,,,,,,
1938.967723,310.4566675,,,,,,,
1939.222485,311.2117943,,,,,,,
1939.591827,310.9510867,,,,,,,
1939.969,309.800915,,,,,,,
1940.754009,307.7386636,,,,,,,
1940.839415,311.8022677,,,,,,,
1941.779698,312.3939386,,,,,,,
1942.035413,312.843733,,,,,,,
1942.207341,311.8780536,,,,,,,
1943.573648,312.3616402,,,,,,,
1944.509043,310.2243096,,,,,,,
1944.764323,311.2775835,,,,,,,
1944.96281,310.4402044,,,,,,,
1945.387389,311.8114965,,,,,,,
1945.55722,311.9671347,,,,,,,
1945.615839,312.5596868,,,,,,,
1946.62686,312.8663621,,,,,,,
1946.663397,310.3629002,,,,,,,
1947.706487,311.57095,,,,,,,
1948.774055,309.6939936,,,,,,,
1949.668472,313.6602846,,,,,,,
1950.2509,312.0017776,,,,,,,
1952.383918,312.1844627,,,,,,,
1953.558561,312.2227408,,,,,,,
1953.713937,312.8003638,,,,,,,
1953.791544,313.171057,,,,,,,
1954.795965,314.7139613,,,,,,,
1956.1572,315.3420739,,,,,,,
1957.103747,314.4370578,,,,,,,
1957.203374,316.3253802,,,,,,,
1957.257539,315.2703546,,,,,,,
1957.872424,314.5721663,,,,,,,
1958.102786,316.1014029,,,,,,,
1958.562971,316.33402,,,,,,,
1959,,315.98,,,,,,
1959.092696,311.9838924,,,,,,,
1960,,316.91,,,,,,
1960.314045,313.0933881,,,,,,,
1960.568662,318.2065804,,,,,,,
1961,,317.64,,,,,,
1961.7159,316.5926101,,,,,,,
1962,,318.45,,,,,,
1962.321916,317.521628,,,,,,,
1962.395341,319.1381732,,,,,,,
1962.542092,317.4481355,,,,,,,
1962.61528,318.6110626,,,,,,,
1963,,318.99,,,,,,
1963.200018,319.0660644,,,,,,,
1963.564496,319.123473,,,,,,,
1964,,319.62,,,,,,
1965,,320.04,,,,,,
1965.226349,319.8929363,,,,,,,
1965.297878,319.1950596,,,,,,,
1965.866012,320.9815664,,,,,,,
1966,,321.37,,,,,,
1966.545235,322.1747797,,,,,,,
1966.789044,320.4923554,,,,,,,
1967,,322.18,,,,,,
1968,,323.05,,,,,,
1968.538749,320.3806508,,,,,,,
1968.813869,324.0855174,,,,,,,
1968.984371,325.0771759,,,,,,,
1969,,324.62,,,,,,
1969.423218,324.7060576,,,,,,,
1970,,325.68,,,,,,
1970.221683,324.5570617,,,,,,,
1970.63715,324.9059937,,,,,,,
1970.656302,326.6491948,,,,,,,
1970.872682,326.3093257,,,,,,,
1971,,326.32,,,,,,
1972,,327.46,,,,,,
1972.041018,330.3504422,,,,,,,
1972.088334,328.415888,,,,,,,
1973,,329.68,,,,,,
1974,,330.19,333.7416667,,,,,
1974.133413,331.5498057,,,,,,,
1975,,331.12,333.6508333,,,,,
1975.570921,332.3656863,,,,,,,
1976,,332.03,333.3491667,331.4516667,329.7691667,,,
1976.67037,332.3689555,,,,,,,
1976.79675,335.5469535,,,,,,,
1977,,333.84,334.775,332.665,331.6083333,331.697,,
1978,,335.41,336.6625,,333.3336364,333.476,,
1979,,336.84,337.9325,336.3245455,,335.2596667,,
1979.14259,334.8485555,,,,,,,
1980,,338.76,340.165,338.0275,337.0766667,336.5261667,,
1981,,340.12,342.3016667,339.145,338.6116667,337.6318333,,
1982,,341.48,343.1083333,340.3216667,339.7275,338.11775,,
1983,,343.15,344.32,341.7691667,341.1027273,340.0214167,,
1983.025919,339.4604885,,,,,,,
1983.07685,341.3292967,,,,,,,
1984,,344.85,346.0908333,343.7558333,343.0058333,341.8391667,,
1984.916753,342.0519764,,,,,,,
1985,,346.35,347.1758333,344.9033333,344.1683333,343.2603333,,
1985.76218,343.1107521,,,,,,,
1986,,347.61,348.9833333,346.3283333,345.52,344.467,,
1986.143228,343.9736768,,,,,,,
1986.616016,344.7177686,,,,,,,
1987,,349.31,350.0566667,348.0625,347.2816667,346.1320833,,
1987.208592,345.441206,,,,,,,
1988,,351.69,353.1125,350.3825,349.2025,348.2995833,,
1988.069512,347.5974056,,,,,,,
1988.966335,349.2784146,,,,,,,
1989,,353.2,355.2716667,351.7183333,351.0866667,349.50025,,
1989.407968,349.8002704,,,,,,,
1989.9714,350.8086522,,,,,,,
1990,,354.45,355.9916667,353.002,352.2316667,350.9784167,,
1991,,355.7,357.815,354.2691667,353.1358333,352.67375,,
1991.134817,352.4163084,,,,,,,
1992,,356.54,357.8616667,355.165,354.3708333,354.1759167,,
1992.313517,353.7242358,,,,,,,
1993,,357.21,358.175,355.9766667,355.2233333,355.0148333,360.8,356.89
1993.08,353.9466853,,,,,,,
1994,,358.96,360.16,357.72,356.6666667,356.4729167,361.23,358.62
1994.405642,357.1067397,,,,,,,
1995,,360.97,362.4516667,359.7233333,358.5175,358.5001667,363.22,360.59
1996,,362.74,364.3075,361.2391667,360.1858333,360.00725,363.66,362.7
1996.279272,359.6477932,,,,,,,
1997,,363.88,365.2241667,362.4081818,361.5483333,361.349,364.83,363.99
1998,361.7807366,366.84,367.8783333,364.902,364.0308333,363.85875,367.98,366.06
1999,,368.54,369.6483333,367.32,365.9425,365.79075,370.83,368.31
2000,,369.71,371.3566667,368.6275,367.2633333,367.0660833,371.86,369.13
2001,,371.32,372.8366667,369.9925,368.8841667,368.5818333,,370.97
2001.03,368.0224879,,,,,,,
2002,,373.45,374.3772727,372.21,370.9375,370.737,,372.34
2003,,375.98,377.5641667,374.31,373.22,373.0028333,,
2004,,377.7,379.145,376.31,375.0733333,374.8819167,,
2005,,379.98,381.3091667,378.215,376.9433333,376.8748333,,
2006,,382.09,383.6908333,380.1883333,378.8841667,378.8010833,,
2007,,384.02,385.1375,382.2791667,380.9083333,380.68725,,
2008,,385.83,387.6133333,384.0558333,382.9075,382.8183333,,
2009,,387.64,388.52,385.7866667,384.4516667,384.3825,,
2010,,390.1,391.1625,387.7327273,386.3325,386.20325,,
2011,,391.85,393.3666667,389.7654545,388.1775,388.0723333,,
2012,,394.06,395.2125,391.8358333,390.2891667,390.111,,
2013,,396.74,398.0833333,394.5216667,393.005,392.9500833,,
2014,,398.87,399.9691667,396.4066667,395.0308333,394.9834167,,
2015,,401.01,402.1075,398.6691667,397.4516667,397.4555,,
2016,,404.41,404.9066667,402.0108333,400.5983333,400.62225,,
2017,,406.76,408.4791667,404.2558333,402.6083333,402.5905833,,
2018,,408.72,410.48,406.5483333,405.2116667,405.0610833,,
2019,,411.66,412.6233333,409.2525,407.6233333,407.5195,,
2020,,414.24,415.4108333,,409.9775,409.84925,,
2021,,416.45,417.655,413.6118182,412.0575,411.95575,,
